Rank,Author,Title,Citations,Year,Source,cit/year
52,"Freund, RE Schapire",Experiments with a new boosting algorithm,9518,1996,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.51.6252&rep=rep1&type=pdf,381
8, Friedman,Greedy function approximation: a gradient boosting machine,9369,2001,https://www.jstor.org/stable/2699986,468
3,"Chen, C Guestrin",Xgboost: A scalable tree boosting system,4901,2016,https://dl.acm.org/doi/abs/10.1145/2939672.2939785,980
63," Schapire, Y Singer",Improved boosting algorithms using confidence-rated predictions,4166,1999,https://link.springer.com/article/10.1023/A:1007614523901,189
79,"Freund, R Schapire, N Abe",A short introduction to boosting,3526,1999,http://www.yorku.ca/gisweb/eats4400/boost.pdf,160
102,"Bauer, R Kohavi","An empirical comparison of voting classification algorithms: Bagging, boosting, and variants",2910,1999,https://link.springer.com/article/10.1023/A:1007515423169,132
77, Dietterich,"An experimental comparison of three methods for constructing ensembles of decision trees: Bagging, boosting, and randomization",2733,2000,https://link.springer.com/article/10.1023/A:1007607513941,130
21," Schapire, Y Singer",BoosTexter: A boosting-based system for text categorization,2662,2000,https://link.springer.com/article/10.1023/A:1007649029923,127
29,"Freund, R Iyer, RE Schapire, Y Singer",An efficient boosting algorithm for combining preferences,2366,2003,http://www.jmlr.org/papers/v4/freund03a.html,131
13, Quinlan,"Bagging, boosting, and C4. 5",2082,1996,http://www.cs.ecu.edu/~dingq/CSCI6905/readings/BaggingBoosting.pdf,83
2, Schapire,The boosting approach to machine learning: An overview,2033,2003,https://link.springer.com/chapter/10.1007/978-0-387-21579-2_9,113
58, Schapire,A brief introduction to boosting,1406,1999,https://192.5.53.208/~stefanko/Teaching/09CS446/Boosting2.pdf,64
53,"Grabner, H Bischof",On-line boosting and vision,1347,2006,https://ieeexplore.ieee.org/abstract/document/1640768/,90
4,"Dai, Q Yang, GR Xue, Y Yu",Boosting for transfer learning,1284,2007,https://dl.acm.org/doi/abs/10.1145/1273496.1273521,92
103,"Xu, H Li",Adarank: a boosting algorithm for information retrieval,821,2007,https://dl.acm.org/doi/abs/10.1145/1277741.1277809,59
26,"Ke, Q Meng, T Finley, T Wang, W Chen…",Lightgbm: A highly efficient gradient boosting decision tree,797,2017,http://papers.nips.cc/paper/6907-lightgbm-a-highly-efficient-gradient-boosting-decision,199
72,"Mason, J Baxter, PL Bartlett…",Boosting algorithms as gradient descent,783,2000,http://papers.nips.cc/paper/1766-boosting-algorithms-as-gradient-descent.pdf,37
80, Webb,Multiboosting: A technique for combining boosting and wagging,748,2000,https://link.springer.com/article/10.1023/A:1007659514849,36
1," Schapire, Y Freund",Boosting: Foundations and algorithms,661,2013,https://www.emerald.com/insight/content/doi/10.1108/03684921311295547/full/html,83
7,"Meir, G Rätsch",An introduction to boosting and leveraging,587,2003,https://link.springer.com/chapter/10.1007/3-540-36434-X_4,33
18,"Guo, HL Viktor",Learning from imbalanced data sets with boosting and data generation: the databoost-im approach,573,2004,https://dl.acm.org/doi/abs/10.1145/1007730.1007736,34
88,"Demiriz, KP Bennett, J Shaw",Linear programming boosting via column generation,493,2002,https://link.springer.com/article/10.1023/A:1012470815092,26
33," Lee, J Lessler, EA Stuart",Improving propensity score weighting using machine learning,484,2010,https://onlinelibrary.wiley.com/doi/abs/10.1002/sim.3782,44
32,Ridgeway,The state of boosting,447,1999,https://sites.google.com/site/gregridgeway/papers-and-software/interface99.pdf,20
20,H Mamitsuka,Query learning strategies using boosting and bagging,432,1998,https://www.researchgate.net/profile/Naoki_Abe2/publication/221345332_Query_Learning_Strategies_Using_Boosting_and_Bagging/links/5441464b0cf2e6f0c0f60abf.pdf,19
