Rank,Author,Title,Citations,Year,Source,cit/year
1, Dietterich,"An experimental comparison of three methods for constructing ensembles of decision trees: Bagging, boosting, and randomization",2733,2000,https://link.springer.com/article/10.1023/A:1007607513941,130
95,"Galar, A Fernandez, E Barrenechea…","A review on ensembles for the class imbalance problem: bagging-, boosting-, and hybrid-based approaches",1393,2011,https://ieeexplore.ieee.org/abstract/document/5978225/,139
79,"Le Van Quyen, J Foucher, JP Lachaux…",Comparison of Hilbert transform and wavelet methods for the analysis of neuronal synchrony,830,2001,https://www.sciencedirect.com/science/article/pii/S0165027001003727,42
98,"Feig, A Onufriev, MS Lee, W Im…",Performance comparison of generalized born and Poisson methods in the calculation of electrostatic solvation energies for protein structures,572,2004,https://onlinelibrary.wiley.com/doi/abs/10.1002/jcc.10378,34
90,"Perola, WP Walters…",A detailed comparison of current docking and scoring methods on systems of pharmaceutical relevance,542,2004,https://onlinelibrary.wiley.com/doi/abs/10.1002/prot.20088,32
27,"Madjarov, D Kocev, D Gjorgjevikj, S Džeroski",An extensive experimental comparison of methods for multi-label learning,538,2012,https://www.sciencedirect.com/science/article/pii/S0031320312001203,60
36,Dia,"A comparison of statistical downscaling and climate change factor methods: impacts on low flows in the River Thames, United Kingdom",530,2005,https://link.springer.com/article/10.1007/s10584-005-1157-6,33
68,"Gudmundsson, JB Bremnes…",Downscaling RCM precipitation to the station scale using statistical transformations: a comparison of methods,455,0,https://www.research-collection.ethz.ch/bitstream/handle/20.500.11850/58274/2/hess-16-3383-2012.pdf,0
99,"Mannhold, GI Poda, C Ostermann, IV Tetko","Calculation of molecular lipophilicity: State-of-the-art and comparison of log P methods on more than 96,000 compounds",443,2009,https://www.sciencedirect.com/science/article/pii/S0022354916329082,37
14,"Brown, JHR Clarke","A comparison of constant energy, constant temperature and constant pressure ensembles in molecular dynamics simulations of atomic liquids",435,1984,https://www.tandfonline.com/doi/abs/10.1080/00268978400100801,12
61," Banfield, LO Hall, KW Bowyer…",A comparison of decision tree ensemble creation techniques,425,2006,https://ieeexplore.ieee.org/abstract/document/4016560/,28
82," Abatzoglou, TJ Brown",A comparison of statistical downscaling methods suited for wildfire applications,409,2012,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/joc.2312,45
60," McGaughey, RP Sheridan, CI Bayly…","Comparison of topological, shape, and docking methods in virtual screening",405,2007,https://pubs.acs.org/doi/abs/10.1021/ci700052x,29
105," Haylock, GC Cawley, C Harpham…",Downscaling heavy precipitation over the United Kingdom: a comparison of dynamical and statistical methods and their future scenarios,367,2006,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/joc.1318,24
94," Seidel, CO Ao, K Li",Estimating climatological planetary boundary layer heights from radiosonde observations: Comparison of methods and uncertainty analysis,329,2010,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2009JD013680,30
73,"Hobza, M Kabeláč, J Šponer…","… , OPLS, POLTEV), semiempirical quantum chemical methods (AM1, MNDO/M, PM3), and ab initio Hartree–Fock method for interaction of DNA bases: Comparison …",303,1997,https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1096-987X(19970715)18:9%3C1136::AID-JCC3%3E3.0.CO;2-S,13
71," Heinz, WF van Gunsteren…",Comparison of four methods to compute the dielectric permittivity of liquids from molecular dynamics simulations,303,2001,https://aip.scitation.org/doi/abs/10.1063/1.1379764,15
3, Dietterich,"An Experimental Comparison of Three Methods for Constructing Ensembles of Decision Trees: Bagging, Boosting, and Randomization THOMAS G …",299,1999,http://www.cs.williams.edu/~andrea/cs374/Articles/dietterich98experimental.pdf,14
110,"Pitha, RN Jones",A comparison of optimization methods for fitting curves to infrared band envelopes,291,1966,https://www.nrcresearchpress.com/doi/abs/10.1139/v66-445,5
64,"Hofstra, M Haylock, M New…","Comparison of six methods for the interpolation of daily, European climate data",288,2008,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2008JD010100,22
76," Vrugt, BA Robinson",Treatment of uncertainty using ensemble methods: Comparison of sequential data assimilation and Bayesian model averaging,285,2007,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2005WR004838,20
40,"Zhao, Y Zhang",Comparison of decision tree methods for finding active objects,277,2008,https://www.sciencedirect.com/science/article/pii/S027311770700796X,21
49," Sutherland, LA O'Brien…",A comparison of methods for modeling quantitative structure− activity relationships,257,2004,https://pubs.acs.org/doi/abs/10.1021/jm0497141,15
29,Das,A comparison of multiple classification methods for diagnosis of Parkinson disease,240,2010,https://www.sciencedirect.com/science/article/pii/S0957417409006137,22
84, Ray,Elastic constants and statistical ensembles in molecular dynamics,239,1988,https://www.sciencedirect.com/science/article/pii/0167797788900093,7
20,"Rauscher, V Gapsys, MJ Gajda…",Structural ensembles of intrinsically disordered proteins depend strongly on force field: a comparison to experiment,237,2015,https://pubs.acs.org/doi/abs/10.1021/acs.jctc.5b00736,40
47,"Collins, BBB Booth, B Bhaskaran, GR Harris…","Climate model errors, feedbacks and forcings: a comparison of perturbed physics and multi-model ensembles",234,2011,https://link.springer.com/article/10.1007/s00382-010-0808-0,23
77,"Lafon, S Dadson, G Buys…",Bias correction of daily precipitation simulated by a regional climate model: a comparison of methods,233,2013,https://rmets.onlinelibrary.wiley.com/doi/abs/10.1002/joc.3518,29
30," Kofke, PT Cummings",Quantitative comparison and optimization of methods for evaluating the chemical potential by molecular simulation,231,1997,https://www.tandfonline.com/doi/abs/10.1080/002689797169600,10
106,"Nanni, A Lumini",An experimental comparison of ensemble of classifiers for bankruptcy prediction and credit scoring,226,2009,https://www.sciencedirect.com/science/article/pii/S0957417408000249,19
108,"Trzesniak, APE Kunz, WF van Gunsteren",A comparison of methods to compute the potential of mean force,217,2007,https://onlinelibrary.wiley.com/doi/abs/10.1002/cphc.200600527,16
38," Clark, WA Gallus Jr, M Xue…",A comparison of precipitation forecast skill between small convection-allowing and large convection-parameterizing ensembles,204,2009,https://journals.ametsoc.org/doi/abs/10.1175/2009WAF2222222.1,17
35," Wilks, TM Hamill",Comparison of ensemble-MOS methods using GFS reforecasts,203,2007,https://journals.ametsoc.org/doi/abs/10.1175/MWR3402.1,14
