Rank,Author,Title,Citations,Year,Source,cit/year
78, Perlow,Boundary control: The social ordering of work and family time in a high-tech corporation,621,1998,https://www.jstor.org/stable/2393855,27
19,Welford,Hijacking environmentalism: Corporate responses to sustainable development,579,2013,https://content.taylorfrancis.com/books/download?dac=C2011-0-06852-8&isbn=9781134176700&format=googlePreviewPdf,72
40,Robbins,Diet for a new America,486,1998,https://books.google.com/books?hl=en&lr=&id=PnO7_2F12p0C&oi=fnd&pg=PR7&dq=greedy+feed+foreward&ots=PCRMJIL64V&sig=ctEIngR5bkUh3EFO1BPlq_2oI1Y,21
60,"Daniels, J Martin",Myth and reality in punitive damages,317,1990,https://heinonline.org/hol-cgi-bin/get_pdf.cgi?handle=hein.journals/mnlr75&section=10,10
39, Forbes,"Columbus and other cannibals: The Wetiko disease of exploitation, imperialism, and terrorism",189,2011,https://books.google.com/books?hl=en&lr=&id=l-BrEuAutGwC&oi=fnd&pg=PT4&dq=greedy+feed+foreward&ots=CEKLuGjebZ&sig=XFjC7WF6JwgzYf0iGhobQSgBG2g,19
71,Chesaina,Oral literature of the Kalenjin,89,1991,https://books.google.com/books?hl=en&lr=&id=rCT2ud6-5Z4C&oi=fnd&pg=PR3&dq=greedy+feed+foreward&ots=R6GNAYBkah&sig=hX8uZupOK_MPaXo6bn4_hRT5Ncs,3
99,Deloria Jr,Could not catch title,82,2003,"Look manually at: https://scholar.google.com/scholar?start=80&q=greedy+feed+foreward&hl=en&as_sdt=0,5",5
87,Swarupananda,Srimad bhagavad gita,69,2016,https://books.google.com/books?hl=en&lr=&id=0rErDAAAQBAJ&oi=fnd&pg=PT5&dq=greedy+feed+foreward&ots=4fbEVtCd9I&sig=gs3ra4YOGopJohsZaF4RGh37dK0,14
14,Watkins,Comment Staples Redux,58,2007,https://www.tandfonline.com/doi/pdf/10.1080/19187033.2007.11675098,4
58,Galante,Tai chi: The supreme ultimate,50,1981,https://books.google.com/books?hl=en&lr=&id=hZZBaAQHE74C&oi=fnd&pg=PA11&dq=greedy+feed+foreward&ots=esarwzZgip&sig=3xuoMYpf4H4WyLNNavBhnv0tNcc,1
96,Panksepp,Brain emotional circuits and psychopathologies,45,1988,https://link.springer.com/chapter/10.1007/978-1-4757-1987-1_3,1
34,Walker,This is my century: New and collected poems,45,2013,https://books.google.com/books?hl=en&lr=&id=8dNiAQAAQBAJ&oi=fnd&pg=PP1&dq=greedy+feed+foreward&ots=Ma0NBpvbfd&sig=EQTrE4OwVM3Cdg8FX6uJwdunFIQ,6
