Rank,Author,Title,Citations,Year,Source,cit/year
4," Chen, H Peng",Differential-braking-based rollover prevention for sport utility vehicles with human-in-the-loop evaluations,373,2001,https://www.tandfonline.com/doi/abs/10.1076/vesd.36.4.359.3546,19
1," Fung, G Norgate, TA Dilts, AS Jones…",Human-in-the-loop machine control loop,301,1992,https://patents.google.com/patent/US5116180A/en,10
7,Holzinger,Interactive machine learning for health informatics: when do we need the human-in-the-loop?,297,2016,https://link.springer.com/article/10.1007/S40708-016-0042-6,59
10,Dautenhahn,"The art of designing socially intelligent agents: Science, fiction, and the human in the loop",273,1998,https://www.tandfonline.com/doi/abs/10.1080/088395198117550,12
2, Cranor,A framework for reasoning about the human in the loop,269,2008,https://www.usenix.org/legacy/event/upsec/tech/full_papers/cranor/cranor.pdf,21
3,"Schirner, D Erdogmus, K Chowdhury, T Padir",The future of human-in-the-loop cyber-physical systems,234,2013,https://ieeexplore.ieee.org/abstract/document/6419714/,29
6,"Ledent, O Paquet, M Vervoort",Phylogenetic analysis of the human basic helix-loop-helix proteins,232,2002,https://link.springer.com/article/10.1186/gb-2002-3-6-research0030,12
5,"Zhang, P Fiers, KA Witte, RW Jackson…",Human-in-the-loop optimization of exoskeleton assistance during walking,191,2017,https://science.sciencemag.org/content/356/6344/1280.abstract,48
12,Naor,Verification of a human in the loop or Identification via the Turing Test,168,1996,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.693.6712&rep=rep1&type=pdf,7
9,Naor,Verification of a human in the loop or Identification via the Turing Test,168,1996,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.693.6712&rep=rep1&type=pdf,7
8," Leeper, K Hsiao, M Ciocarlie, L Takayama…",Strategies for human-in-the-loop robotic grasping,141,2012,https://dl.acm.org/doi/abs/10.1145/2157689.2157691,16
30," Durant, AC Bajji, M Sundaram, RK Kumar…","Structural Effects of Hypermodified Nucleosides in the Escherichia coli and Human tRNALys Anticodon Loop:  The Effect of Nucleosides s2U, mcm5U, mcm5s2U, mnm5s2U, t6A, and …",112,2005,https://pubs.acs.org/doi/abs/10.1021/bi050343f,7
15," Nunes, P Zhang, JS Silva",A survey on human-in-the-loop applications towards an internet of all,110,2015,https://ieeexplore.ieee.org/abstract/document/7029083/,18
13,"Endert, MS Hossain, N Ramakrishnan…",The human is the loop: new directions for visual analytics,103,2014,https://link.springer.com/article/10.1007/s10844-014-0304-9,15
23, Cummings,The need for command and control instant message adaptive interfaces: Lessons learned from Tactical Tomahawk human-in-the-loop simulations,99,2004,https://www.liebertpub.com/doi/abs/10.1089/cpb.2004.7.653,6
24,"Sepp, K Kannike, A Eesmaa, M Urb, T Timmusk",Functional diversity of human basic helix-loop-helix transcription factor TCF4 isoforms generated by alternative 5′ exon usage and splicing,87,2011,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3137626/,9
19,"Falcone, C Castelfranchi",The human in the loop of a delegated agent: The theory of adjustable social autonomy,86,2001,https://ieeexplore.ieee.org/abstract/document/952715/,4
20,"Ding, M Kim, S Kuindersma…",Human-in-the-loop optimization of hip assistance with a soft exosuit during walking,86,2018,https://robotics.sciencemag.org/content/3/15/eaar5438?utm_source=64&utm_medium=social&utm_campaign=News-from-Science-%28%40NewsfromScience%29&utm_term=SciMag&utm_content=AAAS,29
14,"Li, D Sadigh, SS Sastry, SA Seshia",Synthesis for human-in-the-loop control systems,85,2014,https://link.springer.com/chapter/10.1007/978-3-642-54862-8_40,12
21," Tsui, DJ Kim, A Behal, D Kontak…",“I want that”: Human-in-the-loop control of a wheelchair-mounted robotic arm,78,2011,https://content.iospress.com/articles/applied-bionics-and-biomechanics/abb004,8
18,"Peternel, T Petrič, E Oztop, J Babič",Teaching robots to cooperate with humans in dynamic manipulation tasks based on multi-modal human-in-the-loop approach,77,2014,https://link.springer.com/article/10.1007/s10514-013-9361-0,11
17,"Dopico, A Luaces, M Gonzalez…",Dealing with multiple contacts in a human-in-the-loop application,76,2011,https://link.springer.com/article/10.1007/s11044-010-9230-y,8
27,"Holzinger, M Plass, K Holzinger, GC Crişan…",Towards interactive Machine Learning (iML): applying ant colony algorithms to solve the traveling salesman problem with the human-in-the-loop approach,75,2016,https://link.springer.com/chapter/10.1007/978-3-319-45507-5_6,15
16,"Wang, S Gong, X Zhu, T Xiang",Human-in-the-loop person re-identification,67,2016,https://link.springer.com/chapter/10.1007/978-3-319-46493-0_25,13
45,"DeDonato, V Dimitrov, R Du…",Human‐in‐the‐loop control of a humanoid robot for disaster response: A report from the DARPA Robotics Challenge Trials,56,2015,https://onlinelibrary.wiley.com/doi/abs/10.1002/rob.21567,9
32," Burry, P Paul",Automated license plate recognition system and method using human-in-the-loop based adaptive learning,56,2015,https://patents.google.com/patent/US9092979B2/en,9
26,"Prevot, J Homola, J Mercer",Human-in-the-loop evaluation of ground-based automated separation assurance for NEXTGEN,56,2008,https://arc.aiaa.org/doi/pdf/10.2514/6.2008-8885,4
28,"Prevot, P Lee, T Callantine, J Mercer…",Human-in-the-loop evaluation of NextGen concepts in the Airspace Operations Laboratory,55,2010,https://arc.aiaa.org/doi/pdf/10.2514/6.2010-7609,5
31,"Savla, T Temple, E Frazzoli",Human-in-the-loop vehicle routing policies for dynamic environments,51,2008,https://ieeexplore.ieee.org/abstract/document/4739443/,4
37,"Ronsse, N Vitiello, T Lenzi…",Adaptive oscillators with human-in-the-loop: Proof of concept for assistance and rehabilitation,49,2010,https://ieeexplore.ieee.org/abstract/document/5628021/,4
47,"Holzinger, M Plass, K Holzinger, GC Crisan…",A glass-box interactive machine learning approach for solving NP-hard problems with the human-in-the-loop,44,2017,https://arxiv.org/abs/1708.01104,11
38," Lee, PL Hsu",Remote supervisory control of the human-in-the-loop system by using Petri nets and Java,44,2003,https://ieeexplore.ieee.org/abstract/document/1202993/,2
35,"Li, AH Miller, S Chopra, MA Ranzato…",Dialogue learning with human-in-the-loop,43,2016,https://arxiv.org/abs/1611.09823,9
36,"Gopinath, S Jain, BD Argall",Human-in-the-loop optimization of shared autonomy in assistive robotics,43,2016,https://ieeexplore.ieee.org/abstract/document/7518989/,9
40,"Feng, C Wiltsche, L Humphrey…",Synthesis of human-in-the-loop control protocols for autonomous systems,42,2016,https://ieeexplore.ieee.org/abstract/document/7428972/,8
43,"Peternel, T Petrič, J Babič",Human-in-the-loop approach for teaching robot assembly tasks using impedance control interface,40,2015,https://ieeexplore.ieee.org/abstract/document/7139387/,7
51,"Barmore, T Abbott, W Capron",Evaluation of airborne precision spacing in a human-in-the-loop experiment,39,2005,https://arc.aiaa.org/doi/pdf/10.2514/6.2005-7402,2
49," Chiang, SJ Wu, JW Perng, BF Wu…",The human-in-the-loop design approach to the longitudinal automation system for an intelligent vehicle,39,2010,https://ieeexplore.ieee.org/abstract/document/5428833/,4
41,"Corno, P Giani, M Tanelli…",Human-in-the-loop bicycle control via active heart rate regulation,39,2014,https://ieeexplore.ieee.org/abstract/document/6926844/,6
34," Culhane, B Winn…",Human dynamic closed-loop accommodation augmented by sympathetic inhibition.,38,1999,https://iovs.arvojournals.org/article.aspx?articleid=2162085,2
29,Li,Human-in-the-loop data integration,38,2017,https://dl.acm.org/doi/abs/10.14778/3137765.3137833,10
53," Mangsbo, J Sanchez, K Anger…",Complement activation by CpG in a human whole blood loop system: mechanisms and immunomodulatory effects,36,2009,https://www.jimmunol.org/content/183/10/6724.short,3
52,"Fales, E Spencer, K Chipperfield, F Wagner…",Modeling and control of a wheel loader with a human-in-the-loop assessment using virtual reality,36,2005,https://asmedigitalcollection.asme.org/dynamicsystems/article-abstract/127/3/415/470041,2
60," Roth, ML Hanson, C Hopkins…",Human in the loop evaluation of a mixed-initiative system for planning and control of multiple UAV teams,35,2004,https://journals.sagepub.com/doi/abs/10.1177/154193120404800301,2
48,"Brown, RE Grinter",Designing for transient use: A human-in-the-loop translation platform for refugees,34,2016,https://dl.acm.org/doi/abs/10.1145/2858036.2858230,7
39,Drigg,Improved driver modeling for human-in-the-loop vehicular control,34,2015,https://ieeexplore.ieee.org/abstract/document/7139410/,6
46," Chen, H Peng",Rollover prevention for sports utility vehicles with human-in-the-loop evaluations,34,0,http://www-personal.engin.umich.edu/~hpeng/AVEC2000_Chen.PDF,0
50,"Chipalkatty, H Daepp, M Egerstedt…",Human-in-the-loop: MPC for shared control of a quadruped rescue robot,33,2011,https://ieeexplore.ieee.org/abstract/document/6094601/,3
91,"Papadopoulos, E Azar",Integrating building performance simulation in agent-based modeling using regression surrogate models: A novel human-in-the-loop energy modeling approach,32,2016,https://www.sciencedirect.com/science/article/pii/S0378778816305680,6
64,"Prevot, E Palmer, N Smith, T Callantine",A multi-fidelity simulation environment for human-in-the-loop studies of distributed air ground traffic management,32,2002,https://arc.aiaa.org/doi/pdf/10.2514/6.2002-4679,2
56,"Kim, Y Ding, P Malcolm, J Speeckaert, CJ Siviy…",Human-in-the-loop Bayesian optimization of wearable device parameters,32,2017,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5604949/,8
58," Zaidan, C Calliso",Feasibility of human-in-the-loop minimum error rate training,31,2009,https://dl.acm.org/citation.cfm?id=1699518,3
25,"Rothrock, S Narayanan",Human-in-the-loop simulations,31,2011,https://link.springer.com/content/pdf/10.1007/978-0-85729-883-6.pdf,3
63,"Saetiew, T Limpaiboon, P Jearanaikoon…",Rapid detection of the most common high-risk human papillomaviruses by loop-mediated isothermal amplification,30,2011,https://www.sciencedirect.com/science/article/pii/S0166093411003259,3
68,"Wing, T Prevot, J Murdoch, C Cabrall…",Comparison of ground-based and airborne function allocation concepts for NextGen using human-in-the-loop simulations,29,2010,https://arc.aiaa.org/doi/abs/10.2514/6.2010-9293,3
42, Hess,Human-in-the-loop control,29,2018,https://www.taylorfrancis.com/books/e/9781315214061/chapters/10.1201/9781315214061-12,10
54,"Han, J Hamm, J Sim",Personalized video summarization with human in the loop,28,2011,https://ieeexplore.ieee.org/abstract/document/5711483/,3
59,"Chung, J Kim, K Yi",Human-in-the-loop evaluation of a vehicle stability controller using a vehicle simulator,27,2004,http://www.dbpia.co.kr/Journal/articleDetail?nodeId=NODE00548034,2
73,"Zhang, F Zhang, P Yao, J Tang","Name Disambiguation in AMiner: Clustering, Maintenance, and Human in the Loop.",27,2018,https://dl.acm.org/doi/abs/10.1145/3219819.3219859,9
57,"Smith, P Lee, T Prevôt, J Mercer, E Palmer…",A human-in-the-loop evaluation of air-ground trajectory negotiation,26,2004,https://arc.aiaa.org/doi/pdf/10.2514/6.2004-6260,2
67,Suhir,Human in the loop: predicted likelihood of vehicular mission success and safety,26,2012,https://arc.aiaa.org/doi/pdf/10.2514/1.C031418,3
92,"Eder, C Harper, U Leonards",Towards the safety of human-in-the-loop robotics: Challenges and opportunities for safety assurance of robotic co-workers',25,2014,https://ieeexplore.ieee.org/abstract/document/6926328/,4
75," Self, RK Vinayagam, JT Fry, C North",Bridging the gap between user intention and model parameters for human-in-the-loop data analytics,25,2016,https://dl.acm.org/doi/abs/10.1145/2939502.2939505,5
61,Walsh,Human-in-the-loop development of soft wearable robots,25,2018,https://www.nature.com/articles/s41578-018-0011-1/,8
89,Garrid,IoT heterogeneous mesh network deployment for human-in-the-loop challenges towards a social and sustainable Industry 4.0,25,2018,https://ieeexplore.ieee.org/abstract/document/8361418/,8
72,Chevalie,BabyAI: First steps towards grounded language learning with a human in the loop,24,2018,https://arxiv.org/abs/1810.08272,8
