Rank,Author,Title,Citations,Year,Source,cit/year
82,Día,Gene selection and classification of microarray data using random forest,2334,2006,https://link.springer.com/article/10.1186/1471-2105-7-3,156
64,"Strobl, AL Boulesteix, A Zeileis, T Hothorn","Bias in random forest variable importance measures: Illustrations, sources and a solution",1771,2007,https://link.springer.com/article/10.1186/1471-2105-8-25,126
89,"Svetnik, A Liaw, C Tong, JC Culberson…",Random forest: a classification and regression tool for compound classification and QSAR modeling,1673,2003,https://pubs.acs.org/doi/abs/10.1021/ci034160g,93
92,Schielzeth,Simple means to improve the interpretability of regression coefficients,1496,2010,https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.2041-210X.2010.00012.x,136
104,"Ham, Y Chen, MM Crawford…",Investigation of the random forest framework for classification of hyperspectral data,710,2005,https://ieeexplore.ieee.org/abstract/document/1396322/,44
20,"Letham, C Rudin, TH McCormick…",Interpretable classifiers using rules and bayesian analysis: Building a better stroke prediction model,326,2015,https://projecteuclid.org/euclid.aoas/1446488742,54
47,"Lakkaraju, SH Bach, J Leskovec",Interpretable decision sets: A joint framework for description and prediction,252,2016,https://dl.acm.org/doi/abs/10.1145/2939672.2939874,50
108,"Strobl, T Hothorn, A Zeileis",Party on!,224,0,https://epub.ub.uni-muenchen.de/9387/1/techreport.pdf,0
81,Molnar,Interpretable machine learning,212,2019,https://books.google.com/books?hl=en&lr=&id=jBm3DwAAQBAJ&oi=fnd&pg=PP1&dq=interpretability+random+forest&ots=EfzSYrGFT0&sig=NcOFlxMuudvVQii__Jn2nv9HyCE,106
91,Rodrigue,"Machine learning predictive models for mineral prospectivity: An evaluation of neural networks, random forest, regression trees and support vector machines",200,2015,https://www.sciencedirect.com/science/article/pii/S0169136815000037,33
46,"Ali, R Khan, N Ahmad…",Random forests and decision trees,189,2012,http://www.uetpeshawar.edu.pk/TRP-G/Dr.Nasir-Ahmad-TRP/Journals/2012/Random%20Forests%20and%20Decision%20Trees.pdf,21
78," Evans, MA Murphy, ZA Holden…",Modeling species distribution and change using random forest,186,2011,https://link.springer.com/chapter/10.1007/978-1-4419-7390-0_8,19
10,Qi,Random forest for bioinformatics,186,2012,https://link.springer.com/chapter/10.1007/978-1-4419-9326-7_11,21
27," Ribeiro, S Singh, C Guestrin",Model-agnostic interpretability of machine learning,152,2016,https://arxiv.org/abs/1606.05386,30
34,"Zeng, B Ustun, C Rudin",Interpretable classification models for recidivism prediction,119,2017,https://rss.onlinelibrary.wiley.com/doi/abs/10.1111/rssa.12227,30
28,"Segal, Y Xiao",Multivariate random forests,110,2011,https://onlinelibrary.wiley.com/doi/abs/10.1002/widm.12,11
1,"Song, P Langfelder, S Horvath",Random generalized linear model: a highly accurate and interpretable ensemble predictor,87,2013,https://link.springer.com/article/10.1186/1471-2105-14-5,11
35,"Kumar, R Srivastava, S Srivastava",Detection and classification of cancer from microscopic biopsy images using clinically significant and biologically interpretable features,79,2015,https://www.hindawi.com/archive/2015/457906/abs/,13
40,Guha,On the interpretation and interpretability of quantitative structure–activity relationship models,73,2008,https://link.springer.com/article/10.1007/s10822-008-9240-5,6
80,"Millard, M Richardson","Wetland mapping with LiDAR derivatives, SAR polarimetric decompositions, and LiDAR–SAR fusion using a random forest classifier",70,2013,https://www.tandfonline.com/doi/abs/10.5589/m13-038,9
103,Scornet,Random forests and kernel methods,69,2016,https://ieeexplore.ieee.org/abstract/document/7373647/,14
52,"Wang, C Rudin, F Dosh",A bayesian framework for learning rule sets for interpretable classification,59,2017,https://dl.acm.org/doi/abs/10.5555/3122009.3176814,15
26," Shortridge, SD Guikema…","Machine learning methods for empirical streamflow simulation: a comparison of model accuracy, interpretability, and uncertainty in seasonal watersheds.",54,2016,https://pdfs.semanticscholar.org/592e/da84a2aed39162e70d3c7dc94342d5ab848e.pdf,11
30,"Valdes, JM Luna, E Eaton, CB Simone II, LH Ungar…",MediBoost: a patient stratification tool for interpretable decision making in the era of precision medicine,53,2016,https://www.nature.com/articles/srep37854,11
96,"Hajjem, F Bellavance, D Larocque",Mixed-effects random forest for clustered data,53,2014,https://www.tandfonline.com/doi/abs/10.1080/00949655.2012.741599,8
32,"Basu, K Kumbier, JB Brown…",Iterative random forests to discover predictive and stable high-order interactions,50,2018,https://www.pnas.org/content/115/8/1943.short,17
68,"Syed, G Yona",Enzyme function prediction with interpretable models,49,2009,https://link.springer.com/protocol/10.1007/978-1-59745-243-4_17,4
83,Deng,Guided random forest in the RRF package,49,2013,https://arxiv.org/abs/1306.0237,6
19," Enot, M Beckmann, D Overy…","Predicting interpretability of metabolome models based on behavior, putative identity, and biological relevance of explanatory signals",45,2006,https://www.pnas.org/content/103/40/14865.short,3
56," Kuz'min, PG Polishchuk, AG Artemenko…",Interpretation of QSAR models based on random forest methods,44,2011,https://onlinelibrary.wiley.com/doi/abs/10.1002/minf.201000173,4
5,"Hara, K Hayashi",Making tree ensembles interpretable,44,2016,https://arxiv.org/abs/1606.05390,9
15,"Tolomei, F Silvestri, A Haines, M Lalmas",Interpretable predictions of tree-based ensembles via actionable feature tweaking,44,2017,https://dl.acm.org/doi/abs/10.1145/3097983.3098039,11
71,"Martín, M Pereda, JI Santos, JM Galán",Assessment of resistance spot welding quality based on ultrasonic testing and tree-based techniques,42,2014,https://www.sciencedirect.com/science/article/pii/S0924013614001964,6
4," Huang, KY Huang, TY Lee…",An interpretable rule-based diagnostic classification of diabetic nephropathy among type 2 diabetes patients,40,2015,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-16-S1-S5,7
17,Flore,Enhancing accuracy and interpretability of ensemble strategies in credit risk assessment. A correlated-adjusted decision forest proposal,38,2015,https://www.sciencedirect.com/science/article/pii/S0957417415001499,6
93,"Eliasson, S Rannar, J Trygg",From data processing to multivariate validation-essential steps in extracting interpretable information from metabolomics data,38,2011,https://www.ingentaconnect.com/content/ben/cpb/2011/00000012/00000007/art00004,4
86,Alvare,On the robustness of interpretability methods,38,2018,https://arxiv.org/abs/1806.08049,13
70," Murdoch, C Singh, K Kumbier, R Abbas","Interpretable machine learning: definitions, methods, and applications",38,2019,https://arxiv.org/abs/1901.04592,19
6,"Jiang, H Yang, F Sun, T Chen",Searching for interpretable rules for disease mutations: a simulated annealing bump hunting strategy,36,2006,https://link.springer.com/article/10.1186/1471-2105-7-417,2
36," Keefer, GW Kauffman, RR Gupta","Interpretable, probability-based confidence metric for continuous quantitative structure–activity relationship models",36,2013,https://pubs.acs.org/doi/abs/10.1021/ci300554t,4
65,"Nagrecha, JZ Dillon, NV Chawla",MOOC dropout prediction: lessons learned from making pipelines interpretable,34,2017,https://dl.acm.org/doi/abs/10.1145/3041021.3054162,8
31,"Letham, C Rudin, TH McCormick…",Building interpretable classifiers with rules using Bayesian analysis,34,2012,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.300.4630&rep=rep1&type=pdf,4
84,"Jo, J Cheng",Improving protein fold recognition by random forest,33,2014,https://link.springer.com/article/10.1186/1471-2105-15-S11-S14,5
101,"Jovanovic, S Radovanovic, M Vukicevic…",Building interpretable predictive models for pediatric hospital readmission using Tree-Lasso logistic regression,32,2016,https://www.sciencedirect.com/science/article/pii/S0933365715300671,6
25," De Bock, D Van den Poel",Reconciling performance and interpretability in customer churn prediction using ensemble learning based on generalized additive models,32,2012,https://www.sciencedirect.com/science/article/pii/S0957417412000164,4
9,"Molnar, G Casalicchio, B Bischl",iml: An R package for interpretable machine learning,30,2018,https://joss.theoj.org/papers/10.21105/joss.00786.pdf,10
