Rank,Author,Title,Citations,Year,Source,cit/year
85,"Marjani, F Nasaruddin, A Gani, A Karim…","Big IoT data analytics: architecture, opportunities, and open research challenges",219,2017,https://ieeexplore.ieee.org/abstract/document/7888916/,55
28,"Kwon, MR Hodkiewicz, J Fan, T Shibutani…",IoT-based prognostics and systems health management for industrial applications,91,2016,https://ieeexplore.ieee.org/abstract/document/7520653/,18
10,"Ukil, S Bandyopadhyay, A Pal",IoT-privacy: To be private or not to be private,77,2014,https://ieeexplore.ieee.org/abstract/document/6849186/,11
16,"Ukil, S Bandyopadhyay, A Pal",IoT-privacy: To be private or not to be private,77,2014,https://ieeexplore.ieee.org/abstract/document/6849186/,11
35,"Rajasegarar, C Leckie, M Palaniswami",Hyperspherical cluster based distributed anomaly detection in wireless sensor networks,76,2014,https://www.sciencedirect.com/science/article/pii/S0743731513002013,11
15,"Pacheco, S Hariri",IoT security framework for smart cyber infrastructures,74,2016,https://ieeexplore.ieee.org/abstract/document/7789475/,15
60," Haque, M Rahman, SM Aziz",Sensor anomaly detection in wireless sensor networks for healthcare,62,2015,https://www.mdpi.com/1424-8220/15/4/8764,10
23," Shanthamallu, A Spanias…",A brief survey of machine learning methods and their sensor and IoT applications,56,2017,https://ieeexplore.ieee.org/abstract/document/8316459/,14
41," Rassam, A Zainal, MA Maarof",Advancements of data anomaly detection research in wireless sensor networks: a survey and open issues,56,2013,https://www.mdpi.com/1424-8220/13/8/10087,7
57,"WJ Bosman, G Iacca, A Tejada, HJ Wörtche…",Spatial anomaly detection in sensor networks using neighborhood information,53,2017,https://www.sciencedirect.com/science/article/pii/S1566253516300252,13
65,"Yan, LD Xu, Z Bi, Z Pang, J Zhang…",An emerging technology–wearable wireless sensor networks with applications in human health condition monitoring,51,2015,https://www.tandfonline.com/doi/abs/10.1080/23270012.2015.1029550,8
9," Summerville, KM Zach…",Ultra-lightweight deep packet anomaly detection for Internet of Things devices,49,2015,https://ieeexplore.ieee.org/abstract/document/7410342/,8
81,"Bostani, M Sheikhan",Hybrid of anomaly-based and specification-based IDS for Internet of Things using unsupervised OPF based on MapReduce approach,49,2017,https://www.sciencedirect.com/science/article/pii/S0140366416306387,12
69,"A Habeeb, F Nasaruddin, A Gani…",Real-time big data processing for anomaly detection: A Survey,41,2019,https://www.sciencedirect.com/science/article/pii/S0268401218301658,20
2,"Ukil, S Bandyoapdhyay, C Puri…",IoT healthcare analytics: The importance of anomaly detection,41,2016,https://ieeexplore.ieee.org/abstract/document/7474197/,8
5,"Sedjelmaci, SM Senouci…",A lightweight anomaly detection technique for low-resource IoT devices: a game-theoretic methodology,39,2016,https://ieeexplore.ieee.org/abstract/document/7510811/,8
39,"Sedjelmaci, SM Senouci…",An accurate security game for low-resource IoT devices,36,2017,https://ieeexplore.ieee.org/abstract/document/7920414/,9
97,"Canedo, A Skjellum",Using machine learning to secure IoT systems,36,2016,https://ieeexplore.ieee.org/abstract/document/7906930/,7
50,"Saeed, A Ahmadinia, A Javed, H Larijani",Intelligent intrusion detection in low-power IoTs,36,2016,https://dl.acm.org/doi/abs/10.1145/2990499,7
53,"Yu, X Wang, A Shami",Recursive principal component analysis-based data outlier detection and sensor data aggregation in IoT systems,35,2017,https://ieeexplore.ieee.org/abstract/document/8048463/,9
64,"Kanawaday, A Sane",Machine learning for predictive maintenance of industrial machines using IoT sensor data,33,2017,https://ieeexplore.ieee.org/abstract/document/8342870/,8
27,"Shi, Q Liao, Y He, R Li, A Striegel…",SAVE: Sensor anomaly visualization engine,31,2011,https://ieeexplore.ieee.org/abstract/document/6102458/,3
8,"Butun, B Kantarci…",Anomaly detection and privacy preservation in cloud-centric Internet of Things,29,2015,https://ieeexplore.ieee.org/abstract/document/7247572/,5
3,"Lyu, J Jin, S Rajasegarar, X He…",Fog-empowered anomaly detection in IoT using hyperellipsoidal clustering,29,2017,https://ieeexplore.ieee.org/abstract/document/7936471/,7
40,"Zheng, S Rajasegarar, C Leckie…",Smart car parking: temporal clustering and anomaly detection in urban car parking,28,2014,https://ieeexplore.ieee.org/abstract/document/6827618/,4
78,"Wang, HT Vo, P Ni",An IoT application for fault diagnosis and prediction,27,2015,https://ieeexplore.ieee.org/abstract/document/7396580/,4
