Rank,Author,Title,Citations,Year,Source,cit/year
11, Bishop,Pattern recognition and machine learning,41478,2006,https://cds.cern.ch/record/998831,2765
32," Witten, E Frank",Data mining: practical machine learning tools and techniques with Java implementations,38342,2002,https://dl.acm.org/doi/pdf/10.1145/507338.507355,2018
8, Quinlan,C4. 5: programs for machine learning,37145,2014,https://books.google.com/books?hl=en&lr=&id=b3ujBQAAQBAJ&oi=fnd&pg=PP1&dq=machine+learning&ots=sQ9pUTFmB5&sig=06qjlH7L1X_vnwanyBmBJX49liQ,5306
13,"Pedregosa, G Varoquaux, A Gramfort…",Scikit-learn: Machine learning in Python,24452,2011,http://www.jmlr.org/papers/v12/pedregosa11a,2445
15, Rasmussen,Gaussian processes in machine learning,17029,2003,https://link.springer.com/chapter/10.1007/978-3-540-28650-9_4,946
41,Sebastiani,Machine learning in automated text categorization,9949,2002,https://dl.acm.org/doi/abs/10.1145/505282.505283,524
43,"Pang, L Lee, S Vaithyanathan",Thumbs up?: sentiment classification using machine learning techniques,8836,2002,https://dl.acm.org/citation.cfm?id=1118704,465
33,"Abadi, P Barham, J Chen, Z Chen, A Davis…",Tensorflow: A system for large-scale machine learning,7322,2016,https://www.usenix.org/conference/osdi16/technical-sessions/presentation/abadi,1464
1,Alpaydin,Introduction to machine learning,7182,2020,https://books.google.com/books?hl=en&lr=&id=tZnSDwAAQBAJ&oi=fnd&pg=PR7&dq=machine+learning&ots=F2ZS819oxg&sig=G5ifYTk3vNZ4izieCjQ0YN4pGm8,7182
2, Murphy,Could not catch title,6343,2012,"Look manually at: https://scholar.google.com/scholar?start=0&q=machine+learning&hl=en&as_sdt=0,5",705
19, Dietterich,Ensemble methods in machine learning,5996,2000,https://link.springer.com/chapter/10.1007/3-540-45014-9_1,286
80,"Abadi, A Agarwal, P Barham, E Brevdo…",Tensorflow: Large-scale machine learning on heterogeneous distributed systems,4685,2016,https://arxiv.org/abs/1603.04467,937
40,"Rosten, T Drummond",Machine learning for high-speed corner detection,4459,2006,https://link.springer.com/chapter/10.1007/11744023_34,297
24,Langley,Selection of relevant features in machine learning,4311,1994,https://www.aaai.org/Papers/Symposia/Fall/1994/FS-94-02/FS94-02-034.pdf,160
29,"Asuncion, D Newman",UCI machine learning repository,4158,2007,https://ergodicity.net/2013/07/,297
3,"Michie, DJ Spiegelhalter…",Machine learning,3815,1994,https://stacks.stanford.edu/file/druid:jt687kv7146/jt687kv7146.pdf,141
20," Kotsiantis, I Zaharakis…",Supervised machine learning: A review of classification techniques,3776,2007,https://books.google.com/books?hl=en&lr=&id=vLiTXDHr_sYC&oi=fnd&pg=PA3&dq=machine+learning&ots=CYsuwB0Chn&sig=B3_fZQCQITndiy1RWSxj6kfCUSg,270
28, Hall,Correlation-based feature selection for machine learning,3395,1999,https://www.lri.fr/~pierres/donn%E9es/save/these/articles/lpr-queue/hall99correlationbased.pdf,154
38,Bottou,Large-scale machine learning with stochastic gradient descent,3212,2010,https://link.springer.com/chapter/10.1007/978-3-7908-2604-3_16,292
48, Samuel,Some studies in machine learning using the game of checkers,3165,1959,https://ieeexplore.ieee.org/abstract/document/5392560/,51
35,"Snoek, H Larochelle, RP Adams",Practical bayesian optimization of machine learning algorithms,3074,2012,http://papers.nips.cc/paper/4522-practical-bayesian-optimization,342
7," Goldberg, JH Holland",Genetic algorithms and machine learning,2542,1988,https://deepblue.lib.umich.edu/bitstream/handle/2027.42/46947/10994_2005_Article_422926.pdf,77
6,"Mohri, A Rostamizadeh, A Talwalkar",Could not catch title,2033,2018,"Look manually at: https://scholar.google.com/scholar?start=0&q=machine+learning&hl=en&as_sdt=0,5",678
44, Schapire,The boosting approach to machine learning: An overview,2033,2003,https://link.springer.com/chapter/10.1007/978-0-387-21579-2_9,113
26,Domingos,A few useful things to know about machine learning,2024,2012,https://dl.acm.org/doi/pdf/10.1145/2347736.2347755,225
