Rank,Author,Title,Citations,Year,Source,cit/year
1,"Liaw, M Wiener",Classification and regression by randomForest,11199,2002,https://www.researchgate.net/profile/Andy_Liaw/publication/228451484_Classification_and_Regression_by_RandomForest/links/53fb24cc0cf20a45497047ab/Classification-and-Regression-by-RandomForest.pdf,589
3,Día,Gene selection and classification of microarray data using random forest,2334,2006,https://link.springer.com/article/10.1186/1471-2105-7-3,156
4,"Strobl, AL Boulesteix, A Zeileis, T Hothorn","Bias in random forest variable importance measures: Illustrations, sources and a solution",1771,2007,https://link.springer.com/article/10.1186/1471-2105-8-25,126
10,"Svetnik, A Liaw, C Tong, JC Culberson…",Random forest: a classification and regression tool for compound classification and QSAR modeling,1673,2003,https://pubs.acs.org/doi/abs/10.1021/ci034160g,93
2,Pal,Random forest classifier for remote sensing classification,1175,2005,https://www.tandfonline.com/doi/abs/10.1080/01431160412331269698,73
13, Rodrigue,An assessment of the effectiveness of a random forest classifier for land-cover classification,1077,2012,https://www.sciencedirect.com/science/article/pii/S0924271611001304,120
9,"Belgiu, L Drăguţ",Random forest in remote sensing: A review of applications and future directions,976,2016,https://www.sciencedirect.com/science/article/pii/S0924271616000265,195
8,"Ham, Y Chen, MM Crawford…",Investigation of the random forest framework for classification of hyperspectral data,710,2005,https://ieeexplore.ieee.org/abstract/document/1396322/,44
7," Archer, RV Kimes",Empirical characterization of random forest variable importance measures,604,2008,https://www.sciencedirect.com/science/article/pii/S0167947307003076,46
31," Lawrence, SD Wood, RL Sheley",Mapping invasive plants using hyperspectral imagery and Breiman Cutler classifications (RandomForest),549,2006,https://www.sciencedirect.com/science/article/pii/S0034425705003792,37
28,"W Chan, D Paelinckx",Evaluation of Random Forest and Adaboost tree-based ensemble classification and spectral band selection for ecotope mapping using airborne hyperspectral …,548,2008,https://www.sciencedirect.com/science/article/pii/S0034425708000679,42
20,"Jiang, H Wu, W Wang, W Ma, X Sun…",MiPred: classification of real and pseudo microRNA precursors using random forest prediction model with combined features,488,2007,https://academic.oup.com/nar/article-abstract/35/suppl_2/W339/2923422,35
16,Grömping,Variable importance assessment in regression: linear regression versus random forest,447,2009,https://www.tandfonline.com/doi/abs/10.1198/tast.2009.08199,37
35,"Immitzer, C Atzberger, T Koukal",Tree species classification with random forest using very high spatial resolution 8-band WorldView-2 satellite data,424,2012,https://www.mdpi.com/2072-4292/4/9/2661,47
19,"Mutanga, E Adam, MA Cho",High density biomass estimation for wetland vegetation using WorldView-2 imagery and random forest regression algorithm,421,2012,https://www.sciencedirect.com/science/article/pii/S0303243412000566,47
6," Oshiro, PS Perez, JA Baranauskas",How many trees in a random forest?,379,2012,https://link.springer.com/chapter/10.1007/978-3-642-31537-4_13,42
29," Boulesteix, S Janitza, J Kruppa…",Overview of random forest methodology and practical guidance with emphasis on computational biology and bioinformatics,369,2012,https://onlinelibrary.wiley.com/doi/abs/10.1002/widm.1072,41
49," Menze, BM Kelm, R Masuch, U Himmelreich…",A comparison of random forest and its Gini importance with standard chemometric methods for the feature selection and classification of spectral data,347,2009,https://link.springer.com/article/10.1186/1471-2105-10-213,29
41, Rodrigue,Random Forest classification of Mediterranean land cover using multi-seasonal imagery and multi-seasonal texture,345,2012,https://www.sciencedirect.com/science/article/pii/S0034425711004408,38
15, Segal,Machine learning benchmarks and random forest regression,327,2004,https://escholarship.org/uc/item/35x3v9t4,19
11,"Shi, S Horvath",Unsupervised learning with random forest predictors,325,2006,https://amstat.tandfonline.com/doi/abs/10.1198/106186006X94072,22
27,"Albert, E Aliu, H Anderhub, P Antoranz…",Implementation of the random forest method for the imaging atmospheric Cherenkov telescope MAGIC,323,2008,https://www.sciencedirect.com/science/article/pii/S0168900207024059,25
18,"Khalilia, S Chakraborty, M Popescu",Predicting disease risks from highly imbalanced data using random forest,298,2011,https://link.springer.com/article/10.1186/1472-6947-11-51,30
24," Gray, P Aljabar, RA Heckemann, A Hammers…",Random forest-based similarity measures for multi-modal classification of Alzheimer's disease,292,2013,https://www.sciencedirect.com/science/article/pii/S1053811912009834,36
14,"Biau, E Scornet",A random forest guided tour,287,2016,https://link.springer.com/article/10.1007/s11749-016-0481-7,57
38,"Oliveira, F Oehler, J Sa",Modeling spatial patterns of fire occurrence in Mediterranean Europe using Multiple Regression and Random Forest,280,2012,https://www.sciencedirect.com/science/article/pii/S0378112712001272,31
22," Cootes, MC Ionita, C Lindner, P Sauer",Robust and accurate shape model fitting using random forest regression voting,274,2012,https://link.springer.com/chapter/10.1007/978-3-642-33786-4_21,30
21," Khoshgoftaar, M Golawala…",An empirical study of learning from imbalanced data using random forest,271,2007,https://ieeexplore.ieee.org/abstract/document/4410397/,19
33,"Del Río, V López, JM Benítez, F Herrera",On the use of MapReduce for imbalanced big data using Random Forest,256,2014,https://www.sciencedirect.com/science/article/pii/S0020025514003272,37
87," Touw, JR Bayjanov, L Overmars…",Data mining in the Life Sciences with Random Forest: a walk in the park or lost in the jungle?,242,2013,https://academic.oup.com/bib/article-abstract/14/3/315/255469,30
48,"Jia, Z Liu, X Xiao, B Liu, KC Chou",pSuc-Lys: predict lysine succinylation sites in proteins with PseAAC and ensemble random forest approach,237,2016,https://www.sciencedirect.com/science/article/pii/S0022519316000539,47
65,"Fraiwan, K Lweesy, N Khasawneh, H Wenz…",Automated sleep stage identification system based on time–frequency analysis of a single EEG channel and random forest classifier,230,2012,https://www.sciencedirect.com/science/article/pii/S0169260711003105,26
55,"Feng, J Liu, J Gong",UAV remote sensing for urban vegetation mapping using random forest and texture analysis,224,2015,https://www.mdpi.com/2072-4292/7/1/1074,37
30,"Svetnik, A Liaw, C Tong, T Wang",Application of Breiman's random forest to modeling structure-activity relationships of pharmaceutical molecules,222,2004,https://link.springer.com/chapter/10.1007/978-3-540-25966-4_33,13
42," Granitto, C Furlanello, F Biasioli…",Recursive feature elimination with random forest for PTR-MS analysis of agroindustrial products,218,2006,https://www.sciencedirect.com/science/article/pii/S0169743906000232,15
61,"Wiesmeier, F Barthold, B Blank, I Köge",Digital mapping of soil organic matter stocks using Random Forest modeling in a semi-arid steppe ecosystem,216,2011,https://link.springer.com/article/10.1007/s11104-010-0425-z,22
37,"Qi, J Klei",Random forest similarity for protein-protein interaction prediction from multiple sources,216,2005,https://www.worldscientific.com/doi/abs/10.1142/9789812702456_0050,14
52," Kandaswamy, KC Chou, T Martinetz…",AFP-Pred: A random forest approach for predicting antifreeze proteins from sequence-derived properties,215,2011,https://www.sciencedirect.com/science/article/pii/S0022519310005849,22
44," Lin, JA Fang, X Xiao, KC Chou",iDNA-Prot: identification of DNA binding proteins using random forest with grey model,210,2011,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3174210/,21
26," Palmer, NM O'Boyle, RC Glen…",Random forest models to predict aqueous solubility,208,2007,https://pubs.acs.org/doi/abs/10.1021/ci060164k,15
93,Rodrigue,"Machine learning predictive models for mineral prospectivity: An evaluation of neural networks, random forest, regression trees and support vector machines",200,2015,https://www.sciencedirect.com/science/article/pii/S0169136815000037,33
99,"Millard, M Richardson",On the importance of training data sample selection in random forest image classification: A case study in peatland ecosystem mapping,200,2015,https://www.mdpi.com/2072-4292/7/7/8489,33
71," Shah, JW Bartlett, J Carpenter…",Comparison of random forest and parametric imputation models for imputing missing data using MICE: a CALIBER study,199,2014,https://academic.oup.com/aje/article-abstract/179/6/764/107562,28
46," Nicodemus, JD Malley…",The behaviour of random forest permutation-based variable importance measures under predictor correlation,197,2010,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-11-110,18
17,Qi,Random forest for bioinformatics,186,2012,https://link.springer.com/chapter/10.1007/978-1-4419-9326-7_11,21
50,"Jiang, W Tang, X Wu, W Fu",A random forest approach to the detection of epistatic interactions in case-control studies,186,2009,https://bmcbioinformatics.biomedcentral.com/articles/10.1186/1471-2105-10-S1-S65,16
25," Evans, MA Murphy, ZA Holden…",Modeling species distribution and change using random forest,186,2011,https://link.springer.com/chapter/10.1007/978-1-4419-7390-0_8,19
54,"Shi, D Seligson, AS Belldegrun, A Palotie…",Tumor classification by tissue microarray profiling: random forest clustering applied to renal cell carcinoma,181,2005,https://www.nature.com/articles/3800322,11
43,"Du, A Samat, B Waske, S Liu, Z Li",Random forest and rotation forest for fully polarized SAR image classification using polarimetric and spatial features,172,2015,https://www.sciencedirect.com/science/article/pii/S0924271615000611,29
