Rank,Author,Title,Citations,Year,Source,cit/year
27,"Grinsted, JC Moore, S Jevrejeva",Application of the cross wavelet transform and wavelet coherence to geophysical time series,3441,0,https://hal.archives-ouvertes.fr/hal-00302394/,2
13,"Faloutsos, M Ranganathan, Y Manolopoulos",Fast subsequence matching in time-series databases,2417,1994,https://dl.acm.org/doi/abs/10.1145/191843.191925,90
96,"Eyben, M Wöllmer, B Schuller",Opensmile: the munich versatile and fast open-source audio feature extractor,1373,2010,https://dl.acm.org/doi/abs/10.1145/1873951.1874246,125
46,"Muda, M Begam, I Elamvazuthi",Voice recognition algorithms using mel frequency cepstral coefficient (MFCC) and dynamic time warping (DTW) techniques,728,2010,https://arxiv.org/abs/1003.4083,66
85,"Sohn, CR Farrar",Damage diagnosis using time series analysis of vibration signals,696,2001,https://iopscience.iop.org/article/10.1088/0964-1726/10/3/304,35
34," Yen, KC Lin",Wavelet packet feature extraction for vibration monitoring,660,2000,https://ieeexplore.ieee.org/abstract/document/847906/,31
23,"Yang, MN Nguyen, PP San, XL Li…",Deep convolutional neural networks on multichannel time series for human activity recognition,487,2015,https://www.aaai.org/ocs/index.php/IJCAI/IJCAI15/paper/viewPaper/10710,81
39,"Keogh, S Lonardi, BY Chiu",Finding surprising patterns in a time series database in linear time and space,485,2002,https://dl.acm.org/doi/abs/10.1145/775047.775128,26
45,"Kalpakis, D Gada, V Puttagunta",Distance measures for effective clustering of ARIMA time-series,480,2001,https://ieeexplore.ieee.org/abstract/document/989529/,24
37,"Wang, K Smith, R Hyndman",Characteristic-based clustering for time series data,374,2006,https://link.springer.com/article/10.1007/s10618-005-0039-x,25
19,Geurts,Pattern extraction for time series classification,368,2001,https://link.springer.com/chapter/10.1007/3-540-44794-6_10,18
67,"Jenke, A Peer, M Buss",Feature extraction and selection for emotion recognition from EEG,336,2014,https://ieeexplore.ieee.org/abstract/document/6858031/,48
92,"Kakizawa, RH Shumway…",Discrimination and clustering for multivariate time series,321,1998,https://amstat.tandfonline.com/doi/abs/10.1080/01621459.1998.10474114,14
32,"R Reis, APA Da Silva",Feature extraction via multiresolution analysis for short-term load forecasting,304,2005,https://ieeexplore.ieee.org/abstract/document/1388509/,19
102," Ruiz, V Hristidis, C Castillo, A Gionis…",Correlating financial time series with micro-blogging activity,302,2012,https://dl.acm.org/doi/abs/10.1145/2124295.2124358,34
68,"Rokni, A Ahmad, A Selamat, S Hazini",Water feature extraction and change detection using multitemporal Landsat imagery,286,2014,https://www.mdpi.com/2072-4292/6/5/4173,41
60,"Last, Y Klein, A Kandel",Knowledge discovery in time series databases,278,2001,https://ieeexplore.ieee.org/abstract/document/907576/,14
31,"Jahankhani, V Kodogiannis…",EEG signal classification using wavelet feature extraction and neural networks,269,2006,https://ieeexplore.ieee.org/abstract/document/4022049/,18
25,"Nanopoulos, R Alcock…",Feature-based classification of time-series data,267,2001,https://www.researchgate.net/profile/Yannis_Manolopoulos/publication/234800113_Feature-based_Classification_of_Time-series_Data/links/56b3237008ae795dd5c84b8e/Feature-based-Classification-of-Time-series-Data.pdf,13
72,"Vogt, E André",Comparing feature sets for acted and spontaneous speech in view of automatic emotion recognition,263,2005,https://ieeexplore.ieee.org/abstract/document/1521463/,16
51,"Liu, RH Weisberg…",Performance evaluation of the self‐organizing map for feature extraction,247,2006,https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2005JC003117,16
84,"Wang, D Miao, C Xie",Best basis-based wavelet packet entropy feature extraction and hierarchical EEG classification for epileptic detection,239,2011,https://www.sciencedirect.com/science/article/pii/S0957417411008803,24
5, Olszewski,Generalized feature extraction for structural pattern recognition in time-series data,230,2001,https://apps.dtic.mil/docs/citations/ADA457624,12
40,"Rosipal, M Girolami, LJ Trejo, A Cichocki",Kernel PCA for feature extraction and de-noising in nonlinear regression,217,2001,https://link.springer.com/article/10.1007/s521-001-8051-z,11
29,"McKay, I Fujinaga, P Depalle",jAudio: A feature extraction library,214,2005,https://www.academia.edu/download/45376075/2103.pdf,13
35,"Kampouraki, G Manis, C Nikou",Heartbeat time series classification with support vector machines,212,2008,https://ieeexplore.ieee.org/abstract/document/4588343/,16
1,Mörchen,Time series feature extraction for data mining using DWT and DFT,211,2003,http://mybytes.de/papers/moerchen03time.pdf,12
36,"Yoon, K Yang, C Shahabi",Feature subset selection and feature ranking for multivariate time series,205,2005,https://ieeexplore.ieee.org/abstract/document/1490526/,13
42,"Mierswa, K Morik",Automatic feature extraction for classifying audio data,201,2005,https://link.springer.com/article/10.1007/s10994-005-5824-7,13
30," Baydogan, G Runger, E Tuv",A bag-of-features framework to classify time series,197,2013,https://ieeexplore.ieee.org/abstract/document/6497440/,25
100,Hyvärinen,Complexity pursuit: separating interesting components from time series,196,2001,https://www.mitpressjournals.org/doi/abs/10.1162/089976601300014394,10
81,"Li, W Zhou, Q Yuan, S Geng, D Cai",Feature extraction and recognition of ictal EEG using EMD and SVM,189,2013,https://www.sciencedirect.com/science/article/pii/S0010482513000905,24
4,"Deng, G Runger, E Tuv, M Vladimir",A time series forest for classification and feature extraction,180,2013,https://www.sciencedirect.com/science/article/pii/S0020025513001473,22
6," Fulcher, NS Jones",Highly comparative feature-based time-series classification,177,2014,https://ieeexplore.ieee.org/abstract/document/6786425/,25
97," Ralanamahatana, J Lin, D Gunopulos…",Mining time series data,176,2005,https://link.springer.com/chapter/10.1007/0-387-25465-X_51,11
80,"Karim, S Majumdar, H Darabi, S Chen",LSTM fully convolutional networks for time series classification,173,2017,https://ieeexplore.ieee.org/abstract/document/8141873/,43
43," Moon, KY Whang, WK Loh",Duality-based subsequence matching in time-series databases,171,2001,https://ieeexplore.ieee.org/abstract/document/914837/,9
58,"Xing, J Pei, PS Yu, K Wang",Extracting interpretable features for early classification on time series,161,2011,https://epubs.siam.org/doi/abs/10.1137/1.9781611972818.22,16
98," Burke, SP Kelly, P De Chazal…",A parametric feature extraction and classification strategy for brain-computer interfacing,158,2005,https://ieeexplore.ieee.org/abstract/document/1406016/,10
83,"Cui, W Chen, Y Chen",Multi-scale convolutional neural networks for time series classification,155,2016,https://arxiv.org/abs/1603.06995,31
53,Sternickel,Automatic pattern recognition in ECG time series,151,2002,https://www.sciencedirect.com/science/article/pii/S0169260701001687,8
76,"Samiee, P Kovacs, M Gabbouj",Epileptic seizure classification of EEG time-series using rational discrete short-time Fourier transform,143,2014,https://ieeexplore.ieee.org/abstract/document/6909003/,20
57, Kadous,Learning Comprehensible Descriptions of Multivariate Time Series.,137,1999,https://sites.google.com/site/waleedkadous/publications/icml99.pdf,6
18," Eads, D Hill, S Davis, SJ Perkins…",Genetic algorithms and support vector machines for time series classification,137,2002,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/4787/0000/Genetic-Algorithms-and-Support-Vector-Machines-for-Time-Series-Classification/10.1117/12.453526.short,7
63,"Ahlstrom, P Hult, P Rask, JE Karlsson…",Feature extraction for systolic heart murmur classification,136,2006,https://link.springer.com/article/10.1007/s10439-006-9187-4,9
93,"Formisano, F De Martino, G Valente",Multivariate analysis of fMRI time series: classification and regression of brain responses using machine learning,136,2008,https://www.sciencedirect.com/science/article/pii/S0730725X08000775,10
78,"Song, P Liò",A new approach for epileptic seizure detection: sample entropy based feature extraction and extreme learning machine,132,2010,https://www.scirp.org/html/1987.html,12
